id,tw_member?,fb_member?,tw_follower?,fb_follower?
UltraWalker,False,False,False,True
Undisputed8,False,False,False,True
ishidamakot,False,False,False,True
tunebird,False,False,False,True
kombat513,False,False,False,True
NamPNQ,False,False,False,True
owais,False,False,False,True
AdvanceYe,False,False,True,True
zhoujiangang0911,False,False,True,False
Paradoxium,False,False,False,True
AaronLayton,False,False,True,False
olivrg,False,False,True,False
muhammadadnan97,False,False,False,True
bhyde,False,False,True,False
jrobson153,False,False,True,False
guhb,False,False,True,False
BaihaoTian,False,False,False,True
Marcopohlo,False,False,False,True
kurtz,False,False,False,True
alive8e88,False,False,True,True
qwer2714856,False,False,True,False
michaelMaoMao,False,False,True,False
dpilafian,False,False,False,True
fingeronthebutton,False,False,True,False
zhangela,False,False,False,True
scar1et,False,False,True,False
andycao,False,False,True,False
vedovato,False,False,True,False
wangxingkang,False,False,True,False
droom,False,False,True,False
icodejs,False,False,True,False
jfsiii,True,False,False,False
kelvintaywl,False,False,True,False
entremgmt,False,False,True,False
bumfo,False,False,False,True
ColdSauce,False,False,False,True
vitorbritto,False,False,True,False
edgarronda,False,False,True,False
varunm,False,False,True,False
alexoconner,False,False,False,True
edinchez,False,False,True,False
anilj,False,False,True,False
tarebyte,False,False,False,True
medismailben,False,False,True,False
esam091,False,False,True,False
PhilFalk,False,False,True,False
adamjgrant,False,False,True,False
caoddt,False,False,True,False
zkadish,False,False,False,True
filipecmsf,False,False,False,True
themrzmaster,False,False,False,True
mshahamirian,False,False,True,False
paololi,False,False,False,True
rflpazini,False,False,True,True
iGexome,False,False,True,False
codechef34,False,False,True,False
gmnikolis,False,False,False,True
geovanerocha,False,False,True,False
JensNordal,False,False,True,False
fedek,False,False,False,True
zhengyouxiang,False,False,False,True
esnilara,False,False,False,True
faeliaso,False,False,True,True
felixpy,False,False,True,False
alexfigueiredo,False,False,True,False
tounaobun,False,False,False,True
kuaf,False,False,True,False
vikkamath,False,False,False,True
Vietworm,False,False,True,True
marcacyr,False,False,False,True
orange90,False,False,True,False
johnhuang1225,False,False,True,False
ztianjin,False,False,False,True
crimeprophet,False,False,False,True
vita1ity,False,False,False,True
Shikaga,False,False,True,False
parseopensource,False,False,False,True
nezihyigitbasi,False,False,True,True
genzouw,False,False,True,False
Narek-sahakyan,False,False,True,False
chemouna,False,False,True,False
brynbellomy,False,False,True,True
doron2402,False,False,True,True
abbasimehr,False,False,False,True
jsvenancio,False,False,True,False
sharmapankaj2512,False,False,True,False
robhuzzey,False,False,True,False
longdeqidao,False,False,True,True
thomasdclark,False,False,False,True
ondrejsika,False,False,False,True
eirikhm,False,False,True,False
siqidong,False,False,False,True
mneise,False,False,False,True
muratbiskin,False,False,False,True
manabuyasuda,False,False,True,False
askl56,False,False,True,True
runarp,False,False,False,True
gpedro,False,False,True,True
andreccosta,False,False,False,True
dmcinnis,False,False,True,False
digitalgears,False,False,True,False
snowdream,False,False,True,False
nullrana,False,False,True,False
andrejkn,False,False,False,True
codedrinker,False,False,False,True
liliang1203,False,False,False,True
Techfolio,False,False,True,False
ml0728119,False,False,True,False
beingajharris,False,False,True,False
easymoneysniper,False,False,True,False
Caryyon,False,False,True,False
jupazave,False,False,True,True
clarkbw,False,False,False,True
firemax,False,False,True,False
CainVampire,False,False,True,False
ernestoisasi,False,False,True,False
xiaoyanit,False,False,True,True
mvit,False,False,False,True
ericlemes,False,False,False,True
ishideo,False,False,False,True
kingslou,False,False,False,True
sandxlk,False,False,True,False
nelsonriley,False,False,False,True
kneath,False,False,True,False
korywakefield,False,False,True,False
acenode,False,False,False,True
MignonCornet,False,False,False,True
CircuitCoder,False,False,True,False
xuwt,False,False,True,False
rolinston,False,False,False,True
idan11,False,False,False,True
kaisercrazy,False,False,True,False
cstipkovic,False,False,True,False
dario-f,False,False,False,True
2x2l-,False,False,False,True
ibrucekong,False,False,True,False
praharsh23,False,False,False,True
Cu7ious,False,False,False,True
bretsquire,False,False,False,True
benj,False,False,False,True
evrencoskun,False,False,False,True
vamshisuram,False,False,False,True
ianb821,False,False,False,True
jotes,False,False,False,True
geraldyeo,False,False,False,True
madimalo,False,False,True,False
ericyang89,False,False,True,True
Gerst20051,False,False,True,True
antoniocapelo,False,False,True,True
tmfsd,False,False,True,False
liujinhou,False,False,True,False
ErcanErc,False,False,True,False
3dgiordano,False,False,False,True
AndrewShmig,False,False,False,True
anastasiap,False,False,True,False
xuewei4d,False,False,False,True
zx1986,False,False,True,True
kasami,False,False,True,False
alexdiao,False,False,False,True
DaveRev,False,False,True,False
davestroud,False,False,True,True
vuralusenc,False,False,False,True
othman32,False,False,False,True
metelsky,False,False,True,True
nrandom,False,False,False,True
githubNiuChao,False,False,False,True
johnkoht,False,False,True,False
seanDot7,False,False,True,False
Kushalitha,False,False,True,False
lixiangflyin,False,False,False,True
sasongkojati,False,False,True,False
Loutlook,False,False,False,True
golovachruslan,False,False,False,True
maniabhi,False,False,True,True
rodritank,False,False,True,False
rbartoli,False,False,True,True
Amanda111,False,False,True,True
brahemgh,False,False,True,False
luffyhwl,False,False,True,False
kaymint,False,False,True,False
agusesetiyono,False,False,True,False
daam,False,False,True,False
migmae,False,False,True,True
m3hrdadfi,False,False,False,True
zhengger,False,False,False,True
TeraLee,False,False,True,True
arranrp,False,False,True,False
aprato,False,False,True,False
w382285328,False,False,True,False
szahn,False,False,True,True
trevanhetzel,False,False,True,False
335g,False,False,False,True
0x70696c696e67,False,False,False,True
johndbritton,False,False,True,False
codelegant,False,False,False,True
losangelesdj,False,False,False,True
vicadam,False,False,False,True
hackersknight,False,False,True,True
entropYlion,False,False,True,False
Musonda,False,False,True,False
xmorpheu5x,False,False,True,False
pedrogimenez,False,False,False,True
joeyblake,False,False,False,True
deanpcmad,False,False,True,False
carlosepp,False,False,False,True
ruzz311,False,False,True,True
zanas,False,False,True,False
rjmacarthy,False,False,False,True
jeffesonmaia,False,False,False,True
kigawas,False,False,False,True
hkk,False,False,True,False
koreyhinton,False,False,True,False
ziweizhou,False,False,False,True
janzal,False,False,False,True
vingel,False,False,True,True
wgextra,False,False,True,False
Warin,False,False,True,False
y0ast,False,False,False,True
srepho,False,False,False,True
satori,False,False,False,True
